station_name,date_time,temperature,precipitation,windspeed,wind_direction,humidity,vapor_pressure,dew_point_temp,local_pressure,sea_level_pressure,sunshine,solar_radiation,snowfall,new_snowfall_3hr,cloud_type,lowest_cloud,visibility,ground_condition,activity_score
목포,2021-07-10 09:00,26.1,,2.1,160.0,85.0,28.6,23.3,1003.3,1008.4,0.1,0.91,,,Sc,10.0,1625.0,,-1.24390251448528
여수,2021-09-26 17:00,23.9,,3.8,70.0,64.0,18.9,16.6,1010.7,1018.3,0.4,0.49,,,ScAc,10.0,2000.0,,1.4288900503236563
양산시,2021-01-10 03:00,-6.0,,3.3,290.0,54.0,2.1,-13.8,1025.6,1026.4,,,,,,,1674.0,,-4.852034058609696
거제,2021-09-26 08:00,21.8,,0.8,90.0,77.0,20.0,17.5,1016.3,1021.5,0.0,,,,,6.0,1650.0,,0.9137302695327507
대관령,2021-02-09 16:00,-0.5,,6.1,270.0,30.0,1.8,-15.9,931.0,1024.5,1.0,1.42,,,,,1749.0,,-1.3885946415433583
홍성,2021-03-08 22:00,3.8,,0.8,20.0,83.0,6.6,1.1,1023.0,1026.5,,,,,,,708.0,,-1.268828353261183
천안,2021-04-15 22:00,9.2,,0.5,160.0,59.0,6.8,1.5,1007.9,1018.2,,,,,,,2474.0,,2.2833436274142285
태백,2021-05-25 18:00,12.9,,1.8,230.0,49.0,7.3,2.4,923.6,1004.4,0.7,,,,,16.0,2000.0,,2.4532359685316485
정선군,2021-09-02 21:00,19.1,,0.4,0.0,86.0,18.9,16.6,976.3,1011.3,,,,,,3.0,1497.0,,0.3301019961382007
수원,2021-01-05 10:00,-4.0,,4.3,340.0,39.0,1.8,-15.9,1027.5,1032.7,1.0,0.8,,,,,2000.0,,-2.2359907939412724
양산시,2021-10-05 01:00,21.4,,1.3,200.0,98.0,24.9,21.0,1022.0,1022.7,,,,,,3.0,1101.0,,-2.7369637906384896
완도,2021-06-29 18:00,24.4,,1.1,140.0,73.0,22.2,19.2,1001.9,1005.9,0.0,,,,,,2000.0,,0.6526614950671432
강진군,2021-11-28 08:00,-0.8,,0.2,0.0,95.0,5.5,-1.5,1026.8,1028.9,0.1,0.06,,,,,2522.0,,-2.5472992744289553
충주,2021-04-09 08:00,10.0,,3.9,70.0,61.0,7.5,2.8,1010.0,1024.0,1.0,,,,,,1983.0,,2.045160600628928
춘천,2021-07-03 03:00,20.8,,2.0,320.0,85.0,20.8,18.1,1002.4,1011.2,,,,,,,2000.0,,-0.01500150344948048
정읍,2021-11-22 13:00,6.4,,,,67.0,6.4,0.7,1007.8,1016.2,0.6,,,,,10.0,1698.0,,1.8502641500673818
인제,2021-02-24 20:00,1.9,,2.2,360.0,56.0,3.9,-5.9,1000.2,1025.4,,,,,,,1854.0,,-0.09308153839811939
거창,2021-11-10 23:00,6.6,,2.3,250.0,84.0,8.1,4.0,982.1,1009.7,,,,,,10.0,1987.0,,-1.0049775735162236
청주,2021-07-16 23:00,25.0,,1.0,50.0,74.0,23.4,20.0,1007.9,1014.6,,,,,,,2764.0,,-0.3976362226766159
임실,2021-03-17 14:00,17.5,,1.4,70.0,15.0,3.0,-9.4,987.7,1016.4,1.0,,,,,,2000.0,,1.4209683990608388
부안,2021-01-18 20:00,0.5,,2.8,320.0,65.0,4.1,-5.3,1024.7,1026.3,,,,,,12.0,2893.0,,-0.4015749055518655
인천,2021-05-09 22:00,13.0,,1.9,230.0,57.0,8.5,4.6,1003.0,1011.2,,,,,,,2000.0,,2.2091404024884365
인천,2021-05-31 18:00,20.8,,2.8,250.0,61.0,14.9,12.9,1003.1,1011.1,0.6,0.8,,,Sc,11.0,1278.0,,1.6600574497747749
부여,2021-11-21 17:00,12.8,,0.0,0.0,81.0,11.9,9.6,1013.5,1015.1,0.0,,,,,32.0,301.0,,-0.25781137548349753
동두천,2021-02-18 07:00,-11.9,,1.8,290.0,51.0,1.3,-20.0,1007.8,1023.1,,,,,,,946.0,,-7.6370272104025005
추풍령,2021-09-20 23:00,21.1,,2.4,90.0,80.0,20.0,17.5,981.6,1009.5,,,,,,6.0,3459.0,,1.056475315718774
광양시,2021-11-20 16:00,18.6,,0.8,200.0,43.0,9.2,5.7,1009.6,1019.9,1.0,0.84,,,,,1479.0,,1.3111458821359712
문경,2021-10-16 09:00,15.1,,0.5,20.0,78.0,13.3,11.2,998.7,1019.2,0.0,,,,,38.0,4374.0,,2.510311906981384
임실,2021-08-13 09:00,22.4,,0.7,110.0,92.0,24.9,21.0,978.7,1006.6,0.0,,,,,2.0,1089.0,,-1.2113957451223043
천안,2021-12-17 07:00,-1.2,,2.3,320.0,63.0,3.5,-7.3,1010.0,1020.8,,,,,,,1627.0,,-1.541322280099303
전주,2021-03-23 08:00,5.2,,1.5,140.0,73.0,6.4,0.7,1016.2,1023.7,0.6,0.42,,,Sc,12.0,1006.0,,0.2767716842165274
속초,2021-03-17 11:00,9.8,,3.0,360.0,52.0,6.2,0.3,1018.5,1020.6,1.0,,,,,,1487.0,,1.9247474329924938
서귀포,2021-05-30 14:00,21.8,,1.4,160.0,84.0,21.8,18.9,1003.1,1009.1,1.0,,,,,,2000.0,,0.140773625608817
제주,2021-04-12 11:00,17.6,0.3,5.2,70.0,83.0,16.6,14.6,1015.3,1017.8,0.0,0.31,,,StNs,6.0,1100.0,,0.08539021530470481
부산,2021-03-28 07:00,14.1,,5.8,200.0,90.0,14.4,12.4,993.3,1001.5,0.0,0.04,,,Sc,8.0,2070.0,,-0.13344037017451627
서울,2021-04-10 07:00,8.0,,3.4,50.0,63.0,6.7,1.3,1020.6,1031.2,0.3,0.14,,,,,2000.0,,1.5146237891215957
거제,2021-04-11 09:00,13.4,,0.5,50.0,66.0,10.1,7.1,1027.7,1033.2,1.0,,,,,,2653.0,,2.8681202999778965
산청,2021-02-07 04:00,4.9,,0.4,0.0,77.0,6.6,1.1,1001.1,1018.2,,,,,,,518.0,,-1.6332149602414208
순천,2021-07-02 05:00,19.6,,0.0,0.0,99.0,22.5,19.4,988.3,1007.3,,,,,,,301.0,,-3.9941389003697765
양산시,2021-01-27 06:00,1.2,,0.7,110.0,99.0,6.6,1.0,1020.5,1021.3,,,,,,22.0,1134.0,,-4.586332216831332
동두천,2021-04-04 09:00,10.4,,1.9,20.0,72.0,9.0,5.5,1002.4,1016.4,0.2,,,,,19.0,1892.0,,1.666920128599216
보성군,2021-05-09 14:00,23.5,,3.9,160.0,32.0,9.2,5.8,1009.4,1009.6,1.0,3.48,,,,,4828.0,,1.8820650497955262
상주,2021-06-02 02:00,17.8,,1.0,320.0,90.0,18.3,16.1,1003.0,1014.3,,,,,,44.0,2424.0,,-0.4822292799683896
울릉도,2021-02-24 10:00,4.1,,3.0,70.0,52.0,4.3,-4.8,999.2,1026.6,1.0,1.59,,,Ci,,2000.0,,0.8673202242058532
안동,2021-01-23 05:00,4.4,,0.6,110.0,90.0,7.5,2.8,1002.9,1020.4,,,,,Sc,10.0,1075.0,,-2.3102648381499207
세종,2021-08-19 21:00,23.2,,1.6,180.0,83.0,23.5,20.1,1002.2,1012.4,,,,,,10.0,1746.0,,0.254863303082807
원주,2021-11-15 04:00,4.3,,0.6,70.0,90.0,7.4,2.7,1002.8,1021.4,,,,,,,378.0,,-3.4130191245501966
여수,2021-10-09 05:00,21.8,,4.6,70.0,83.0,21.6,18.7,1014.1,1021.8,,,,,,,2000.0,,0.1520899831386806
함양군,2021-07-20 01:00,23.7,,0.3,0.0,94.0,27.4,22.6,997.3,1014.6,,,,,,6.0,1445.0,,-2.727408516970611
제주,2021-01-29 22:00,3.2,,2.1,230.0,56.0,4.3,-4.7,1025.0,1027.6,,,,,,11.0,2000.0,,0.4151545301809698
강화,2021-08-03 11:00,28.7,,1.0,290.0,77.0,30.2,24.2,1002.9,1008.3,0.4,,,,,6.0,2883.0,,-1.606405642542518
군산,2021-12-14 13:00,7.5,,3.4,140.0,58.0,6.0,-0.2,1018.8,1022.2,0.9,,,,,17.0,2000.0,,1.777990175661738
구미,2021-09-02 19:00,21.9,,0.9,110.0,76.0,19.9,17.4,1004.2,1009.9,0.0,,,,,8.0,2000.0,,1.1936511007274118
정선군,2021-01-08 08:00,-18.9,,2.4,360.0,41.0,0.6,-28.9,984.5,1025.8,0.0,,,,,,1535.0,,-12.641242215525972
원주,2021-12-22 12:00,4.4,,0.4,0.0,42.0,3.5,-7.4,1004.7,1023.3,1.0,1.81,,,,,1473.0,,1.1005546259653687
대전,2021-10-17 15:00,12.8,,1.9,20.0,28.0,4.2,-5.2,1018.0,1026.5,1.0,2.13,,,,,4871.0,,2.8132056375670347
수원,2021-08-10 23:00,25.6,,0.7,270.0,83.0,27.1,22.4,1005.6,1010.1,,,,,,12.0,1992.0,,-1.7445445077536776
광양시,2021-10-06 23:00,22.3,,0.0,0.0,88.0,23.7,20.2,1008.6,1018.8,,,,,,4.0,1635.0,,-1.4812912843025305
제천,2021-08-14 02:00,22.5,,1.1,50.0,80.0,21.7,18.8,976.9,1006.7,,,,,,,2000.0,,-0.2098820817746999
구미,2021-04-08 16:00,20.3,,2.1,320.0,14.0,3.3,-8.1,1009.3,1015.0,1.0,,,,,,2000.0,,1.757945770478492
진도군,2021-10-02 05:00,17.1,,0.0,0.0,100.0,19.4,17.0,1010.2,1011.4,,,,,,5.0,236.0,,-3.9338213283571424
동해,2021-06-04 22:00,18.1,,1.9,200.0,55.0,11.4,8.9,995.6,1000.3,,,,,,,5000.0,,2.9753122928398836
남원,2021-02-21 05:00,1.4,,1.1,20.0,96.0,6.5,0.8,998.0,1014.6,,,,,,,246.0,,-5.706269923618091
고창,2021-06-08 00:00,21.0,,1.4,250.0,82.0,20.4,17.8,1008.9,1015.0,,,,,,,2051.0,,0.1058653379977581
대구,2021-05-03 23:00,16.1,,0.6,90.0,69.0,12.6,10.4,1010.6,1017.0,,,,,,71.0,2000.0,,1.1278684858073489
영월,2021-04-17 10:00,10.1,,1.1,360.0,77.0,9.5,6.2,986.4,1015.2,0.9,,,,,,750.0,,0.8497315987444078
수원,2021-04-24 23:00,13.5,,2.1,290.0,83.0,12.8,10.6,1014.8,1019.6,,,,,,,1692.0,,-0.05199102669144928
전주,2021-08-15 21:00,26.9,,1.5,180.0,69.0,24.4,20.7,1006.5,1013.4,,,,,CuSc,15.0,2000.0,,-0.14651479693178449
거제,2021-10-01 12:00,25.4,,1.4,340.0,58.0,18.8,16.5,1003.5,1008.6,1.0,,,,,,1762.0,,-0.008750403325941458
봉화,2021-10-17 04:00,0.9,,0.3,0.0,89.0,5.8,-0.7,986.1,1026.5,,,,,,,2000.0,,-2.575546793351061
홍천,2021-09-09 11:00,22.3,,1.0,20.0,72.0,19.4,17.0,999.1,1015.2,0.3,,,,,5.0,4594.0,,1.941142280934864
동두천,2021-12-10 09:00,5.0,0.0,0.5,290.0,85.0,7.4,2.6,1011.0,1025.4,0.0,0.07,,,,11.0,2414.0,,0.13623421091722376
보령,2021-11-08 01:00,16.7,,2.1,160.0,48.0,9.1,5.6,1011.4,1012.6,,,,,,67.0,2000.0,,1.1724834765807683
영월,2021-08-01 17:00,24.6,0.7,1.0,340.0,98.0,30.2,24.2,973.8,1000.7,0.0,,,,,2.0,1368.0,,-2.24563686865585
장수,2021-03-14 09:00,2.0,,0.0,0.0,100.0,7.0,1.9,973.3,1023.3,0.0,,,,,8.0,202.0,,-4.8268192964237375
창원,2021-04-27 21:00,14.6,,0.7,180.0,78.0,12.9,10.7,1014.1,1018.3,,,,,Ac,38.0,2000.0,,1.7807611884158492
원주,2021-05-07 20:00,13.8,,1.7,230.0,49.0,7.7,3.2,989.6,1007.2,0.0,0.0,,,,,340.0,,0.5341756165944875
문경,2021-05-06 10:00,15.3,,2.8,110.0,46.0,8.0,3.7,997.8,1018.3,1.0,,,,,,2953.0,,2.506090942673178
충주,2021-11-30 02:00,1.2,,0.5,200.0,90.0,6.0,-0.2,1005.3,1019.7,,,,,,58.0,711.0,,-3.6871875679262645
합천,2021-09-09 09:00,18.8,,0.3,0.0,99.0,21.4,18.6,1011.8,1014.9,0.0,,,,,67.0,1515.0,,-1.2688312110193727
장흥,2021-06-26 02:00,20.1,0.0,1.0,90.0,91.0,21.3,18.5,1005.6,1010.7,,,,,,34.0,1945.0,,-0.8128929628975969
강릉,2021-04-25 21:00,9.9,,1.8,230.0,69.0,8.4,4.4,1020.8,1024.1,,,,,,,3271.0,,2.2059504159330867
영덕,2021-03-02 16:00,2.9,,4.1,360.0,69.0,5.2,-2.2,1021.8,1026.9,0.0,,,,,9.0,2000.0,,-0.25760433049825016
고산,2021-12-25 08:00,2.6,,19.4,340.0,71.0,5.2,-2.1,1018.1,1027.1,0.0,0.0,,,,7.0,2000.0,,-3.6874098889795515
영광군,2021-11-05 02:00,8.5,,0.5,110.0,95.0,10.5,7.7,1017.2,1021.8,,,,,,,182.0,,-3.8744093520630383
양평,2021-01-20 20:00,-1.9,,0.7,270.0,64.0,3.4,-7.8,1023.3,1029.4,,,,,,55.0,1257.0,,-1.6212061689380666
강진군,2021-10-10 13:00,28.5,,1.8,230.0,70.0,27.1,22.4,1015.1,1016.9,0.4,2.1,,,,,4830.0,,-0.7479882372359227
구미,2021-01-03 03:00,-2.8,,2.0,270.0,49.0,2.4,-12.0,1026.2,1032.6,,,,,,,2000.0,,-2.7943417269227946
서귀포,2021-12-06 18:00,14.0,,0.5,50.0,76.0,12.1,9.8,1018.4,1024.6,0.2,,,,Sc,9.0,2000.0,,1.9764448581399559
강진군,2021-01-30 17:00,9.3,,4.8,270.0,55.0,6.4,0.7,1025.4,1026.6,0.8,0.59,,,,4.0,1421.0,,1.3836624770892763
순창군,2021-07-24 18:00,32.8,,1.3,110.0,52.0,25.8,21.6,992.2,1006.4,1.0,1.31,,,,21.0,2674.0,,-4.095194942422135
인천,2021-12-12 08:00,2.1,,4.9,20.0,73.0,5.2,-2.2,1016.7,1025.4,0.0,0.01,,,Sc,17.0,466.0,,-2.3901877283734767
보령,2021-05-17 11:00,14.0,,0.6,270.0,98.0,15.6,13.6,1006.2,1007.4,0.0,,,,,,1555.0,,-0.6670087650472379
동해,2021-07-24 10:00,24.9,,1.3,90.0,90.0,28.3,23.1,1006.1,1010.7,0.4,,,,,,1365.0,,-1.80582422589083
청송군,2021-01-21 05:00,-10.4,,0.3,0.0,77.0,2.1,-13.6,1001.8,1029.2,,,,,,,2192.0,,-7.003834315146258
양평,2021-08-24 14:00,24.0,1.3,0.7,90.0,100.0,29.7,23.9,992.9,998.2,0.0,,,,,,316.0,,-3.6322474895084267
부산,2021-12-15 09:00,8.4,,0.2,0.0,62.0,6.8,1.5,1014.3,1022.8,0.9,0.47,,,,,3050.0,,2.8052148253721376
원주,2021-01-11 12:00,-7.5,,0.7,340.0,63.0,2.2,-13.3,1009.3,1028.9,0.0,0.67,0.8,,,48.0,1055.0,,-4.664939260110696
보성군,2021-07-10 01:00,23.7,,1.1,250.0,98.0,28.6,23.3,1007.5,1007.7,,,,,,3.0,117.0,,-5.6639853739499175
거제,2021-07-06 05:00,24.5,8.5,3.9,340.0,94.0,28.8,23.4,1002.1,1007.2,,,,,,2.0,77.0,,-4.9716540872287105
강진군,2021-12-14 18:00,6.3,,0.8,270.0,64.0,6.1,0.0,1013.0,1015.0,0.0,0.01,,,,,1417.0,,1.0590212386007076
울산,2021-09-30 05:00,20.1,2.0,1.9,340.0,98.0,22.9,19.7,997.8,1007.2,,,,,StNs,2.0,1333.0,,-1.6430913035192698
대구,2021-08-10 20:00,23.2,0.0,2.5,270.0,83.0,23.5,20.1,1004.6,1010.8,0.0,0.01,,,Sc,10.0,1963.0,,0.5782797672461497
합천,2021-03-13 05:00,2.7,,0.0,0.0,100.0,7.4,2.6,1018.6,1022.0,,,,,,,35.0,,-7.34759601630355
인천,2021-01-03 19:00,-4.3,,0.6,320.0,38.0,1.7,-16.5,1024.5,1033.5,,,,,,,2000.0,,-2.202465725957395
이천,2021-06-05 04:00,13.0,,0.6,340.0,97.0,14.5,12.5,992.6,1002.0,,,,,,,512.0,,-2.6801702257740745
양산시,2021-10-26 16:00,20.0,,2.0,290.0,41.0,9.5,6.3,1017.2,1017.9,1.0,1.12,,,,,1466.0,,0.9883332388348995
제천,2021-08-16 09:00,23.8,,1.4,90.0,68.0,20.0,17.5,986.7,1016.6,1.0,,,,,,1725.0,,0.4835482679238405
춘천,2021-02-12 14:00,10.7,,1.2,70.0,38.0,4.9,-3.0,1014.6,1023.8,1.0,2.08,,,,,1068.0,,1.4969338829477237
강릉,2021-10-11 06:00,17.0,1.2,1.8,230.0,82.0,15.8,13.8,1016.4,1019.6,,,,,,14.0,3088.0,,0.8054928135354569
홍천,2021-06-01 17:00,22.6,,1.5,290.0,66.0,18.1,15.9,998.2,1014.2,0.0,,,,,29.0,2825.0,,1.993963287369732
남해,2021-10-24 01:00,10.4,,1.1,250.0,79.0,9.9,6.9,1022.4,1028.0,,,,,,,2000.0,,0.31663063403617
원주,2021-07-05 15:00,25.8,,0.9,250.0,62.0,20.5,17.9,992.4,1009.3,0.3,1.91,,,,72.0,1896.0,,-0.4005394180317515
울산,2021-12-21 05:00,5.2,,1.8,340.0,66.0,5.8,-0.6,1005.5,1015.5,,,,,,,1870.0,,-0.21058571095076395
임실,2021-10-03 17:00,26.6,,1.8,200.0,51.0,17.7,15.6,991.2,1019.1,1.0,,,,,,1956.0,,-0.23362508186815367
순천,2021-02-18 20:00,-2.8,,5.5,290.0,74.0,3.7,-6.7,1001.6,1022.6,,,,,,,1499.0,,-3.252539040979444
장수,2021-10-15 17:00,17.8,0.1,1.3,360.0,94.0,19.1,16.8,969.8,1016.4,0.0,,,,,7.0,693.0,,-1.2786621997875778
합천,2021-11-26 10:00,5.5,,0.8,50.0,67.0,6.1,-0.1,1022.6,1025.9,1.0,,,,,,1910.0,,1.739528997823438
추풍령,2021-12-29 09:00,-0.7,,0.0,0.0,78.0,4.5,-4.0,991.1,1021.8,0.0,0.15,,,,9.0,1029.0,,-1.7222207586022398
인제,2021-11-24 05:00,-1.2,,1.9,200.0,43.0,2.4,-12.2,991.7,1017.0,,,,,,,5009.0,,-1.1862950870807363
속초,2021-06-29 09:00,22.7,,1.1,90.0,77.0,21.2,18.4,1004.9,1006.9,0.6,,,,,11.0,1764.0,,0.4482160703457211
홍성,2021-07-19 19:00,27.8,,2.1,50.0,77.0,28.6,23.3,1009.6,1012.7,0.8,0.6,,,,36.0,4985.0,,-0.6138219756441342
동해,2021-06-12 20:00,17.5,,0.4,0.0,99.0,19.7,17.3,1006.8,1011.5,0.0,,,,,,253.0,,-2.827379320196222
청송군,2021-08-05 09:00,29.2,,1.4,50.0,71.0,28.6,23.3,984.7,1007.8,1.0,1.74,,,,,936.0,,-3.2261381398083
고창군,2021-07-14 04:00,26.6,,1.9,110.0,77.0,26.8,22.2,1004.5,1011.2,,,,,,12.0,5000.0,,-0.4050675138295273
백령도,2021-07-11 02:00,21.3,,2.1,140.0,99.0,25.0,21.1,1002.9,1007.1,,,,,,1.0,19.0,,-6.795074038621489
강진군,2021-05-06 00:00,8.5,,0.4,0.0,78.0,8.6,4.8,1017.2,1019.2,,,,,,,4830.0,,1.2041926469639659
금산,2021-12-11 20:00,6.0,,0.0,0.0,89.0,8.3,4.3,1003.6,1024.9,,,,,,43.0,336.0,,-1.8016605869447235
서산,2021-11-06 03:00,11.5,,2.3,70.0,72.0,9.7,6.6,1017.0,1020.1,,,,,,,4711.0,,1.5304118059533405
대전,2021-06-10 05:00,22.0,,0.1,0.0,91.0,24.0,20.4,1005.5,1013.6,,,,,Ci,,1836.0,,-1.5728766301855703
보령,2021-12-01 08:00,2.1,,3.5,360.0,64.0,4.5,-4.0,1019.6,1020.9,0.0,,,,,10.0,1860.0,,-0.3370893234398368
밀양,2021-10-20 19:00,11.8,,0.8,50.0,60.0,8.2,4.2,1018.3,1019.3,,,,,,,2000.0,,2.2754822743068566
부여,2021-09-11 01:00,20.1,,0.3,0.0,99.0,23.2,19.9,1013.4,1015.0,,,,,,8.0,798.0,,-3.0370574409943485
남원,2021-02-19 03:00,-4.4,,0.6,50.0,86.0,3.8,-6.3,1008.0,1025.2,,,,,,,1255.0,,-5.024529312227061
의성,2021-12-09 10:00,1.7,,0.4,0.0,87.0,6.0,-0.2,1022.9,1033.3,0.7,,,,,41.0,1982.0,,-0.653992324844277
동두천,2021-10-18 00:00,1.2,,0.4,0.0,70.0,4.7,-3.6,1013.9,1028.5,,0.0,,,,,1691.0,,-1.2164616256996879
대관령,2021-02-22 19:00,6.0,,6.4,270.0,28.0,2.6,-11.1,922.6,1012.8,0.0,0.01,,,,,2041.0,,0.3201656229860397
거창,2021-10-01 04:00,14.6,,0.2,0.0,99.0,16.4,14.4,982.3,1009.1,,,,,,,28.0,,-5.691569749732978
원주,2021-03-27 02:00,10.0,,0.3,0.0,48.0,5.9,-0.5,1000.6,1018.8,,,,,,60.0,1316.0,,0.8713326508258294
여수,2021-01-21 11:00,8.1,,2.1,70.0,66.0,7.1,2.1,1017.3,1025.4,1.0,1.27,,,Ci,,1975.0,,1.6908063577511685
장수,2021-11-23 19:00,1.4,,1.8,360.0,81.0,5.5,-1.5,969.1,1019.0,,,,,,,2000.0,,-1.124977933622393
대전,2021-08-24 03:00,21.7,0.1,0.6,250.0,97.0,25.0,21.1,994.2,1002.2,,,,,ScAs,9.0,1395.0,,-2.450377022794741
인천,2021-05-01 07:00,9.8,0.0,2.7,340.0,84.0,10.2,7.2,996.2,1004.5,0.0,0.06,,,ScAs,13.0,1175.0,,-0.04763117281436846
파주,2021-04-28 04:00,10.8,,1.7,230.0,96.0,12.4,10.1,1013.2,1016.9,,,,,,2.0,1130.0,,-2.201888667980678
성산,2021-06-28 11:00,25.6,,3.5,70.0,84.0,27.4,22.6,1002.4,1004.7,1.0,,,,,4.0,2000.0,,-0.7463439183964654
양산시,2021-01-18 02:00,-4.2,,2.2,200.0,60.0,2.7,-10.8,1024.2,1025.0,,,,,,,4826.0,,-2.667315364430374
울진,2021-08-31 12:00,25.5,,1.0,360.0,82.0,26.6,22.1,1010.6,1016.2,0.0,,,,,42.0,1679.0,,-0.6571513566518928
목포,2021-09-18 12:00,25.5,,2.6,270.0,62.0,20.1,17.6,1009.1,1014.2,1.0,2.99,,,Sc,10.0,1988.0,,-0.18416358456851223
서귀포,2021-06-17 00:00,21.5,,3.6,70.0,87.0,22.2,19.2,999.2,1005.2,,,,,Sc,,2000.0,,-0.15575164822226994
영광군,2021-05-06 02:00,6.4,,0.3,0.0,86.0,8.2,4.2,1014.8,1019.4,,,,,,,1184.0,,-1.2698982247120036
충주,2021-05-29 03:00,14.6,,1.7,270.0,79.0,13.0,10.9,989.6,1003.0,,,,,,7.0,1694.0,,0.3429785159188623
임실,2021-06-26 13:00,25.4,,1.4,180.0,63.0,20.4,17.8,981.9,1009.7,0.5,,,,,17.0,1972.0,,0.2497539488105157
장수,2021-10-17 19:00,3.5,,0.4,0.0,73.0,5.8,-0.8,977.0,1026.8,,,,,,,1066.0,,-0.09880473096587794
양평,2021-04-09 21:00,12.7,,1.9,140.0,48.0,7.0,1.9,1022.8,1028.5,,,,,,,2000.0,,2.2261427273931917
부안,2021-03-09 06:00,2.1,,0.0,0.0,93.0,6.6,1.0,1025.1,1026.6,,,,,,,930.0,,-3.3238216690145843
산청,2021-03-06 22:00,4.4,,0.9,90.0,73.0,6.1,0.0,1014.2,1031.5,,,,,,7.0,2892.0,,0.9748278984999117
고흥,2021-08-03 10:00,29.1,,2.8,160.0,71.0,28.4,23.2,1001.3,1007.1,1.0,,,,,7.0,2000.0,,-1.6350492027328265
의령군,2021-08-06 18:00,34.7,,2.6,200.0,48.0,26.4,22.0,998.9,1000.4,0.3,0.56,,,,,4222.0,,-4.030707045089786
울릉도,2021-01-17 17:00,-1.7,,2.3,270.0,52.0,2.8,-10.2,993.9,1021.8,0.0,0.19,38.3,,Sc,12.0,2000.0,,-1.3935221593838922
창원,2021-12-15 00:00,3.5,,1.3,230.0,60.0,4.7,-3.5,1017.7,1022.1,,,,,,,2000.0,,-0.35419196313456347
원주,2021-06-09 19:00,29.4,,0.7,270.0,36.0,14.7,12.7,996.1,1012.8,1.0,0.43,,,,,2000.0,,-2.3044328165185366
이천,2021-10-27 17:00,16.4,,0.7,340.0,37.0,6.9,1.6,1009.6,1019.1,0.8,,,,,,1998.0,,2.1270389829732546
구미,2021-01-17 22:00,-1.0,,1.5,250.0,57.0,3.2,-8.4,1019.5,1025.8,,,,,,14.0,1722.0,,-1.1392559272924698
정읍,2021-06-24 17:00,23.0,,1.6,250.0,72.0,20.1,17.6,1002.5,1010.3,0.1,,,,,8.0,1966.0,,1.2044068769203857
북창원,2021-12-27 19:00,1.4,,0.8,320.0,42.0,2.8,-10.1,1022.1,1028.6,,,,,,,5000.0,,1.0775635865934878
대구,2021-08-26 20:00,27.6,,0.5,360.0,60.0,22.1,19.1,1007.2,1013.3,0.0,0.0,,,,,2000.0,,-0.6399830991515675
산청,2021-09-17 20:00,20.0,,1.7,360.0,84.0,19.6,17.2,993.9,1009.9,,,,,,11.0,4840.0,,1.549175695672484
남해,2021-07-12 18:00,28.0,,1.7,230.0,78.0,29.3,23.7,1004.3,1009.4,0.5,,,,,,2000.0,,-1.5563762086656108
